Category,Metric,Min,Max,Mean,Median,Std Dev,CI Mean Low,CI Mean High,CI Median Low,CI Median High,Additional Info
ME2,building_footprint,33.08,1401.99,182.17,133.81,185.02,137.04,227.3,111.67,168.11,
ME2,storeys_above_ground,1,3,2.07,2.0,0.4,1.98,2.17,2.0,2.0,
ME2,length_footprint,6.91,62.92,17.8,15.82,8.17,15.8,19.79,14.88,17.83,
ME2,width_footprint,5.92,49.66,17.29,15.46,7.69,15.41,19.16,13.95,17.2,
ME2,roof_ridge_height,2.43,16.57,10.22,10.4,2.53,9.6,10.84,9.69,10.97,
ME2,eaves_height,2.43,12.61,7.44,7.55,2.09,6.93,7.95,6.98,8.11,
ME2,number_roof_surfaces,1,32,6.42,5.0,5.93,4.97,7.86,4.0,6.0,
ME2,roof_slope,35.25,90.0,55.0,51.52,13.25,51.77,58.23,48.63,55.32,
ME2,roof_type,,,,,,,,,,3100: 53.73%
ME2,roof_type,,,,,,,,,,3300: 19.4%
ME2,roof_type,,,,,,,,,,3200: 17.91%
ME2,roof_type,,,,,,,,,,5000: 4.48%
ME2,roof_type,,,,,,,,,,1000: 2.99%
ME2,roof_type,,,,,,,,,,3400: 1.49%
ME2,development_type_code,,,,,,,,,,A12: 33.33%
