Category,Metric,Min,Max,Mean,Median,Std Dev,CI Mean Low,CI Mean High,CI Median Low,CI Median High,Additional Info
LWS,roof_type,,,,,,,,,,3100: 74.49%
LWS,roof_type,,,,,,,,,,3300: 10.12%
LWS,roof_type,,,,,,,,,,5000: 5.26%
LWS,roof_type,,,,,,,,,,1000: 4.86%
LWS,roof_type,,,,,,,,,,3200: 2.83%
LWS,roof_type,,,,,,,,,,2100: 2.02%
LWS,roof_type,,,,,,,,,,3500: 0.4%
LWS,development_type_code,,,,,,,,,,A11: 62.82%
LWS,development_type_code,,,,,,,,,,A12: 17.31%
LWS,development_type_code,,,,,,,,,,A13: 17.31%
LWS,development_type_code,,,,,,,,,,B11: 1.28%
LWS,development_type_code,,,,,,,,,,C11: 0.64%
LWS,development_type_code,,,,,,,,,,B12: 0.64%
ME,building_footprint,18.53,5412.65,373.41,333.3,223.37,367.2,379.63,329.0,336.73,
ME,storeys_above_ground,0,17,2.82,3.0,1.23,2.78,2.85,3.0,3.0,
ME,length_footprint,3.57,64.57,18.78,18.27,4.91,18.64,18.92,18.14,18.42,
ME,width_footprint,3.66,83.83,18.83,18.25,5.34,18.69,18.98,18.09,18.38,
ME,roof_ridge_height,1.44,52.51,13.83,13.55,4.01,13.72,13.94,13.47,13.63,
ME,eaves_height,0.86,52.51,10.1,9.87,3.75,9.99,10.2,9.81,9.96,
ME,number_roof_surfaces,1,81,7.71,7.0,5.03,7.57,7.85,7.0,7.0,
ME,roof_slope,0.0,90.0,56.19,63.7,33.97,54.56,57.82,60.78,66.24,
ME,roof_type,,,,,,,,,,3200: 46.6%
ME,roof_type,,,,,,,,,,3400: 19.1%
ME,roof_type,,,,,,,,,,3100: 17.35%
ME,roof_type,,,,,,,,,,1000: 6.29%
ME,roof_type,,,,,,,,,,3500: 5.26%
ME,roof_type,,,,,,,,,,5000: 2.48%
ME,roof_type,,,,,,,,,,3300: 2.4%
ME,roof_type,,,,,,,,,,2100: 0.26%
ME,roof_type,,,,,,,,,,3900: 0.24%
ME,roof_type,,,,,,,,,,3600: 0.02%
